2.64282	898.5588	<m>	=	0.090269	+/-	0.0502336	<e>	=	-0.67949	+/-	0.0468887	Average	chi	2.52E-06	Cv	2.20E-06
2.54768	866.2112	<m>	=	0.103799	+/-	0.0351116	<e>	=	-0.732779	+/-	0.0464902	Average	chi	1.23E-06	Cv	2.16E-06
2.45342	834.1628	<m>	=	0.0694383	+/-	0.0391567	<e>	=	-0.73431	+/-	0.050724	Average	chi	1.53E-06	Cv	2.57E-06
2.36019	802.4646	<m>	=	0.110795	+/-	0.0494816	<e>	=	-0.813303	+/-	0.0602268	Average	chi	2.45E-06	Cv	3.63E-06
2.26814	771.1676	<m>	=	0.319677	+/-	0.0565461	<e>	=	-0.964989	+/-	0.0641868	Average	chi	3.20E-06	Cv	4.12E-06
2.17741	740.3194	<m>	=	0.431214	+/-	0.070897	<e>	=	-1.15028	+/-	0.0979034	Average	chi	5.03E-06	Cv	9.59E-06
2.08814	709.9676	<m>	=	0.501837	+/-	0.0548432	<e>	=	-1.30149	+/-	0.0930974	Average	chi	3.01E-06	Cv	8.67E-06
2.00044	680.1496	<m>	=	0.522569	+/-	0.0273906	<e>	=	-1.37292	+/-	0.0661696	Average	chi	7.50E-07	Cv	4.38E-06
1.91442	650.9028	<m>	=	0.549432	+/-	0.0622358	<e>	=	-1.48159	+/-	0.0889937	Average	chi	3.87E-06	Cv	7.92E-06
1.83019	622.2646	<m>	=	0.647535	+/-	0.027687	<e>	=	-1.66581	+/-	0.0638239	Average	chi	7.67E-07	Cv	4.07E-06
1.74783	594.2622	<m>	=	0.694087	+/-	0.0187115	<e>	=	-1.7846	+/-	0.0531482	Average	chi	3.50E-07	Cv	2.82E-06
1.66743	566.9262	<m>	=	0.721119	+/-	0.019712	<e>	=	-1.89322	+/-	0.0519338	Average	chi	3.89E-07	Cv	2.70E-06
1.58906	540.2804	<m>	=	0.740796	+/-	0.0150732	<e>	=	-1.96571	+/-	0.0449363	Average	chi	2.27E-07	Cv	2.02E-06
1.51278	514.3452	<m>	=	0.768556	+/-	0.0160817	<e>	=	-2.04933	+/-	0.0464945	Average	chi	2.59E-07	Cv	2.16E-06
1.43866	489.1444	<m>	=	0.78128	+/-	0.0139476	<e>	=	-2.1017	+/-	0.0414307	Average	chi	1.95E-07	Cv	1.72E-06
1.36672	464.6848	<m>	=	0.80356	+/-	0.00989808	<e>	=	-2.175	+/-	0.0354931	Average	chi	9.80E-08	Cv	1.26E-06
1.29702	440.9868	<m>	=	0.816174	+/-	0.0122905	<e>	=	-2.23409	+/-	0.0386797	Average	chi	1.51E-07	Cv	1.50E-06
1.22958	418.0572	<m>	=	0.826789	+/-	0.0107829	<e>	=	-2.27984	+/-	0.0354562	Average	chi	1.16E-07	Cv	1.26E-06
1.16441	395.8994	<m>	=	0.835478	+/-	0.0098291	<e>	=	-2.32938	+/-	0.0304244	Average	chi	9.66E-08	Cv	9.26E-07
1.10153	374.5202	<m>	=	0.85115	+/-	0.00880884	<e>	=	-2.3729	+/-	0.0280297	Average	chi	7.76E-08	Cv	7.86E-07
1.04095	353.923	<m>	=	0.85801	+/-	0.00862631	<e>	=	-2.41454	+/-	0.0276753	Average	chi	7.44E-08	Cv	7.66E-07
0.982653	334.10202	<m>	=	0.869159	+/-	0.00836111	<e>	=	-2.44878	+/-	0.0247568	Average	chi	6.99E-08	Cv	6.13E-07
0.926642	315.05828	<m>	=	0.878481	+/-	0.00807559	<e>	=	-2.48457	+/-	0.025361	Average	chi	6.52E-08	Cv	6.43E-07
0.872897	296.78498	<m>	=	0.881992	+/-	0.00915157	<e>	=	-2.51698	+/-	0.0215874	Average	chi	8.38E-08	Cv	4.66E-07
0.821396	279.27464	<m>	=	0.893914	+/-	0.00705587	<e>	=	-2.55224	+/-	0.019579	Average	chi	4.98E-08	Cv	3.83E-07
0.772112	262.51808	<m>	=	0.902837	+/-	0.00681398	<e>	=	-2.58488	+/-	0.0185981	Average	chi	4.64E-08	Cv	3.46E-07
0.725013	246.50442	<m>	=	0.907442	+/-	0.00563054	<e>	=	-2.61166	+/-	0.0165506	Average	chi	3.17E-08	Cv	2.74E-07
0.680062	231.22108	<m>	=	0.914388	+/-	0.0050746	<e>	=	-2.63578	+/-	0.016106	Average	chi	2.58E-08	Cv	2.59E-07
0.637218	216.65412	<m>	=	0.919981	+/-	0.00632604	<e>	=	-2.65923	+/-	0.0169704	Average	chi	4.00E-08	Cv	2.88E-07
0.596436	202.78824	<m>	=	0.927007	+/-	0.00446363	<e>	=	-2.68379	+/-	0.0139201	Average	chi	1.99E-08	Cv	1.94E-07
0.557668	189.60712	<m>	=	0.931743	+/-	0.0050226	<e>	=	-2.70691	+/-	0.0133639	Average	chi	2.52E-08	Cv	1.79E-07
0.520862	177.09308	<m>	=	0.936905	+/-	0.00375374	<e>	=	-2.72837	+/-	0.0117043	Average	chi	1.41E-08	Cv	1.37E-07
0.485964	165.22776	<m>	=	0.940517	+/-	0.00435371	<e>	=	-2.74623	+/-	0.0111396	Average	chi	1.90E-08	Cv	1.24E-07
0.452919	153.99246	<m>	=	0.945425	+/-	0.00323849	<e>	=	-2.76384	+/-	0.00952119	Average	chi	1.05E-08	Cv	9.07E-08
0.421667	143.36678	<m>	=	0.949429	+/-	0.00344203	<e>	=	-2.78214	+/-	0.00943167	Average	chi	1.18E-08	Cv	8.90E-08
0.392151	133.33134	<m>	=	0.953029	+/-	0.00287846	<e>	=	-2.79788	+/-	0.00930158	Average	chi	8.29E-09	Cv	8.65E-08
0.364308	123.86472	<m>	=	0.956464	+/-	0.00260817	<e>	=	-2.8129	+/-	0.00820198	Average	chi	6.80E-09	Cv	6.73E-08
0.338078	114.94652	<m>	=	0.960077	+/-	0.00227929	<e>	=	-2.82638	+/-	0.00726539	Average	chi	5.20E-09	Cv	5.28E-08
0.313398	106.55532	<m>	=	0.962153	+/-	0.00238359	<e>	=	-2.83811	+/-	0.00733576	Average	chi	5.68E-09	Cv	5.38E-08
0.290207	98.67038	<m>	=	0.965337	+/-	0.00249305	<e>	=	-2.85157	+/-	0.00666559	Average	chi	6.22E-09	Cv	4.44E-08
0.268441	91.26994	<m>	=	0.968142	+/-	0.00216257	<e>	=	-2.86239	+/-	0.00637844	Average	chi	4.68E-09	Cv	4.07E-08
0.24804	84.3336	<m>	=	0.97073	+/-	0.00189725	<e>	=	-2.87325	+/-	0.00551796	Average	chi	3.60E-09	Cv	3.04E-08
0.228941	77.83994	<m>	=	0.97277	+/-	0.00174815	<e>	=	-2.88324	+/-	0.00509454	Average	chi	3.06E-09	Cv	2.60E-08
0.211083	71.76822	<m>	=	0.975155	+/-	0.00161643	<e>	=	-2.89234	+/-	0.0048683	Average	chi	2.61E-09	Cv	2.37E-08
0.194408	66.09872	<m>	=	0.977451	+/-	0.00124193	<e>	=	-2.90176	+/-	0.0038452	Average	chi	1.54E-09	Cv	1.48E-08
0.178855	60.8107	<m>	=	0.978998	+/-	0.00146526	<e>	=	-2.90906	+/-	0.0041237	Average	chi	2.15E-09	Cv	1.70E-08
0.164368	55.88512	<m>	=	0.980673	+/-	0.0013096	<e>	=	-2.91654	+/-	0.00357103	Average	chi	1.72E-09	Cv	1.28E-08
0.15089	51.3026	<m>	=	0.982258	+/-	0.00112792	<e>	=	-2.92322	+/-	0.00348105	Average	chi	1.27E-09	Cv	1.21E-08
0.138366	47.04444	<m>	=	0.983598	+/-	0.00121358	<e>	=	-2.92989	+/-	0.00325804	Average	chi	1.47E-09	Cv	1.06E-08
0.126743	43.09262	<m>	=	0.985036	+/-	0.00116487	<e>	=	-2.93588	+/-	0.00268635	Average	chi	1.36E-09	Cv	7.22E-09
0.11597	39.4298	<m>	=	0.986426	+/-	0.000885092	<e>	=	-2.94155	+/-	0.00251384	Average	chi	7.83E-10	Cv	6.32E-09
0.105996	36.03864	<m>	=	0.987691	+/-	0.000805656	<e>	=	-2.94656	+/-	0.00228991	Average	chi	6.49E-10	Cv	5.24E-09
0.0967748	32.903432	<m>	=	0.988637	+/-	0.00084558	<e>	=	-2.95124	+/-	0.00219238	Average	chi	7.15E-10	Cv	4.81E-09
0.0882586	30.007924	<m>	=	0.989937	+/-	0.000605455	<e>	=	-2.95583	+/-	0.00189242	Average	chi	3.67E-10	Cv	3.58E-09
0.0804036	27.337224	<m>	=	0.99066	+/-	0.000565068	<e>	=	-2.95955	+/-	0.00179515	Average	chi	3.19E-10	Cv	3.22E-09
0.0731673	24.876882	<m>	=	0.991489	+/-	0.000564789	<e>	=	-2.96323	+/-	0.00169381	Average	chi	3.19E-10	Cv	2.87E-09
0.066509	22.61306	<m>	=	0.992193	+/-	0.000607287	<e>	=	-2.96633	+/-	0.00162154	Average	chi	3.69E-10	Cv	2.63E-09
0.0603902	20.532668	<m>	=	0.99297	+/-	0.000430814	<e>	=	-2.96976	+/-	0.00134146	Average	chi	1.86E-10	Cv	1.80E-09
0.0547739	18.623126	<m>	=	0.993494	+/-	0.000525985	<e>	=	-2.97252	+/-	0.00126121	Average	chi	2.77E-10	Cv	1.59E-09
0.0496252	16.872568	<m>	=	0.99437	+/-	0.000354284	<e>	=	-2.97528	+/-	0.00109234	Average	chi	1.26E-10	Cv	1.19E-09
0.0449108	15.269672	<m>	=	0.994781	+/-	0.000351131	<e>	=	-2.97746	+/-	0.00102233	Average	chi	1.23E-10	Cv	1.05E-09
0.0405993	13.803762	<m>	=	0.995373	+/-	0.000286917	<e>	=	-2.97972	+/-	0.000919682	Average	chi	8.23E-11	Cv	8.46E-10
0.0366612	12.464808	<m>	=	0.995741	+/-	0.000291302	<e>	=	-2.98155	+/-	0.000786204	Average	chi	8.49E-11	Cv	6.18E-10
0.0330684	11.243256	<m>	=	0.996123	+/-	0.000264352	<e>	=	-2.98344	+/-	0.000730019	Average	chi	6.99E-11	Cv	5.33E-10
0.0297946	10.130164	<m>	=	0.996604	+/-	0.000207036	<e>	=	-2.98513	+/-	0.000674586	Average	chi	4.29E-11	Cv	4.55E-10
0.0268152	9.117168	<m>	=	0.996803	+/-	0.000236217	<e>	=	-2.98639	+/-	0.000637705	Average	chi	5.58E-11	Cv	4.07E-10
0.0241068	8.196312	<m>	=	0.99725	+/-	0.000168828	<e>	=	-2.98794	+/-	0.000543803	Average	chi	2.85E-11	Cv	2.96E-10
0.0216479	7.360286	<m>	=	0.997469	+/-	0.000151189	<e>	=	-2.98909	+/-	0.000530044	Average	chi	2.29E-11	Cv	2.81E-10
0.0194182	6.602188	<m>	=	0.99776	+/-	0.000138231	<e>	=	-2.99022	+/-	0.000479622	Average	chi	1.91E-11	Cv	2.30E-10
0.0173987	5.915558	<m>	=	0.997995	+/-	0.000133248	<e>	=	-2.99133	+/-	0.000369506	Average	chi	1.78E-11	Cv	1.37E-10
0.0155718	5.294412	<m>	=	0.998193	+/-	0.000115407	<e>	=	-2.99219	+/-	0.000392517	Average	chi	1.33E-11	Cv	1.54E-10
0.0139212	4.733208	<m>	=	0.99835	+/-	0.000115475	<e>	=	-2.99302	+/-	0.000313576	Average	chi	1.33E-11	Cv	9.83E-11
0.0124317	4.226778	<m>	=	0.998544	+/-	8.15E-05	<e>	=	-2.99379	+/-	0.000283316	Average	chi	6.64E-12	Cv	8.03E-11
0.011089	3.77026	<m>	=	0.998732	+/-	8.58E-05	<e>	=	-2.99451	+/-	0.000267324	Average	chi	7.37E-12	Cv	7.15E-11
0.00988033	3.3593122	<m>	=	0.998864	+/-	8.89E-05	<e>	=	-2.99502	+/-	0.000237796	Average	chi	7.91E-12	Cv	5.65E-11
0.0087935	2.98979	<m>	=	0.99898	+/-	7.05E-05	<e>	=	-2.99556	+/-	0.000226845	Average	chi	4.97E-12	Cv	5.15E-11
0.00781742	2.6579228	<m>	=	0.999096	+/-	5.55E-05	<e>	=	-2.99609	+/-	0.000177884	Average	chi	3.08E-12	Cv	3.16E-11
0.00694187	2.3602358	<m>	=	0.999218	+/-	4.05E-05	<e>	=	-2.99655	+/-	0.00015256	Average	chi	1.64E-12	Cv	2.33E-11
